中文名,英文名,建议摄入量,不适宜人群,简介
肌酸,Creatine,暂无数据,均适宜,肌酸是一种含氮的有机酸，化学式为C4H9N3O2，自然存在于脊椎动物体内，能够辅助为肌肉和神经细胞提供能量。米歇尔·欧仁·谢弗勒尔（Michel Eugène Chevreul）于1832年首次在骨骼肌中发现肌酸，而后，根据希腊语“Kreas”（肉），命名为“Creatine”。
熊胆粉,翻译暂缺,暂无数据,均适宜,熊胆粉，清热，平肝，明目。用于目赤肿痛，咽喉肿痛。
破壁灵芝孢子粉,翻译暂缺,暂无数据,均适宜,灵芝孢子是灵芝在发育后期产生释放来的种子，是灵芝的精华，主要营养成分有灵芝多糖、灵芝三萜。
紫芝,翻译暂缺,暂无数据,均适宜,"紫灵芝（学名：Ganoderma sinense J.D. Zhao, L.W. Hsu & X.Q. Zhang）是灵芝科、灵芝属真菌。担子果一年生，有柄。菌盖半圆形、近圆形或近匙形，表面紫褐色、紫黑色到近黑色；边缘薄或钝，常近似截形，与菌盖同色或较淡或呈淡黄褐色；菌肉呈均匀的褐色到深褐色；菌管褐色、深褐色或灰褐色。菌柄侧生、背侧生或偏生，圆柱形或略扁平。皮壳构造呈典型的拟子实层型，淡褐色到褐色。菌丝系统三体型。担孢子卵圆形，顶端脐突或稍平截，双层壁，外壁无色透明，平滑，内壁淡褐色，具明显小刺。"
灵芝（赤芝）,翻译暂缺,暂无数据,均适宜,暂无介绍
金箔,goldleaf,暂无数据,均适宜,金箔是用黄金锤成的薄片。黄金由于具有良好的延展性和可塑性，一两纯金可锤成万分之一毫米厚、面积为16．2平方米的金箔。即一克黄金可以打制成约0.5平方米的纯金箔，厚度为0.12μm。
石榴籽油,Pomegranate seed oil,暂无数据,均适宜,石榴籽油是唯一植物源的多不饱和共轭脂肪酸，其主要成分为石榴酸，含量可达70-80%。因石榴酸的结构与共轭亚油酸（CLA）最为接近而将其称为”超级共轭亚油酸”，其功能性超过一般意义上的共轭亚油酸。石榴籽油还富含抗氧化因子，具有很强的清除人体自由基和延缓衰老的能力。
石榴提取物,翻译暂缺,暂无数据,均适宜,暂无介绍
莲子芯精华（莲芯提取物）,翻译暂缺,暂无数据,均适宜,暂无介绍
莲芯,翻译暂缺,暂无数据,均适宜,莲子心，中药名。为成熟莲子种仁内的绿色胚芽，民间常用以泡茶饮，有清心火，止遗精的作用，对心肾不交、阴虚火旺的失眠患者，食之最宜。从临床应用上看，莲子心适用于轻度失眠人群，如不见效，可适当使用安定控制，但长期服用安定对身体有较大伤害。另外，失眠患者应该培养起较好的生活习惯，如晚饭后多散步，平常多运动等等，这些对于睡眠的恢复均有很好的帮助。
鱼肝油,cod liver oil,暂无数据,均适宜,鱼肝油（英文名：cod liver oil）。从鲨鱼、鳕鱼等的肝脏中提炼出来的脂肪，黄色，有腥味，主要含有维生素A和维生素D。常用于防治夜盲、佝偻病等。
活性炭,active carbon,暂无数据,均适宜,活性炭是一种经特殊处理的炭，将有机原料（果壳、煤、木材等）在隔绝空气的条件下加热，以减少非碳成分（此过程称为炭化），然后与气体反应，表面被侵蚀，产生微孔发达的结构 （此过程称为活化）。由于活化的过程是一个微观过程，即大量的分子碳化物表面侵蚀是点状侵蚀 ，所以造成了活性炭表面具有无数细小孔隙。活性炭表面的微孔直径大多在2～50nm之间，即使是少量的活性炭，也有巨大的表面积，每克活性炭的表面积为500~1500m2，活性炭的一切应用，几乎都基于活性炭的这一特点。
海猪肉粉,翻译暂缺,暂无数据,均适宜,暂无介绍
白毛银露梅(华西银腊梅（药王茶）),翻译暂缺,暂无数据,均适宜,暂无介绍
墨鱼汁、墨鱼粉,翻译暂缺,暂无数据,均适宜,暂无介绍
燕麦β-葡聚糖,翻译暂缺,≤5克/天,均适宜,燕麦中的β-(1→3，1→4)葡聚糖简称燕麦β-葡聚糖，是存在于燕麦胚乳和糊粉层细胞壁的一种非淀粉多糖。它由单体β-D-吡喃葡萄糖，通过β-(1→3)和β-(1→4)糖苷键连接起来形成的一种高分子聚合物。其中β-(1→3)和β-(1→4)糖苷键的分布并非完全有序也非完全元序，主要是β-(1→4)葡聚糖的纤维三糖或者纤维四糖，85%以上的燕麦β-葡聚糖分子中每2~3个β-(1→4)糖苷键间有1个β-(1→3)糖苷键连接，15%是由长链β-(1→4)糖苷键间隔1个β-(1→3)糖苷键组成，其长度可能有4、5个或8个葡萄糖残基。具有β-(1→3)键的直链状而无分支的多糖体结构，其中β-(1→4)和β-(1→3)糖苷键的比例约为2.4:1。在燕麦胚乳和糊粉层细胞壁成分中，β-葡聚糖占85%以上。燕麦β-葡聚糖是一种相对分子质量较小的短链葡聚糖，其相对分子质量的变化范围为5300~257200。
阿拉伯半乳聚糖,arabinogalactan,≤15克/天,均适宜,阿拉伯半乳聚糖（arabinogalactan）为阿拉伯糖与半乳糖组成的中性多糖。在针叶树的木质部中大量含有此糖，特别在落叶松（Larix）中可达25% 。
低聚木糖,xylo-oligosaccharides,≤3.0克/天（以木二糖-木七糖计）,均适宜,"低聚木糖又称木寡糖，是由2-7个木糖分子以β-1,4糖苷键结合而成的功能性聚合糖。与通常人们所用的大豆低聚糖、低聚果糖、低聚异麦芽糖等相比具有独特的优势，它可以选择性地促进肠道双歧杆菌的增殖活性。其双歧因子功能是其它聚合糖类的10-20倍。"
产丙酸丙酸杆菌,翻译暂缺,暂无数据,均适宜,暂无介绍
海藻糖,D-Trehalose anhydrous,暂无数据,均适宜,海藻糖又称为漏芦糖、蕈糖，是由两个葡萄糖分子组成的一个非还原性双糖，分子式为C12H22O11 。海藻糖结构式为α-D-吡喃葡糖基～α-D-吡喃葡糖苷，经常以二水化合物存在，分子式为C12H22O11·2H2O。
茶叶茶氨酸,L-Theanine,≤0.4 克/天,均适宜,茶氨酸（L-Theanine）是茶叶特有一种氨基酸，化学式为C7H14N2O3，在干茶中占重量的1%-2%。
黄明胶,翻译暂缺,暂无数据,均适宜,黄明胶，滋阴润燥，养血止血。用于体虚便秘。
线叶金雀花,ROOIBOS,暂无数据,均适宜,线叶金雀花，又名南非茶或者南非博士茶。是南非西开普敦Cedarberg等地区生长的的一种草本针状灌木。
植物甾烷醇酯,翻译暂缺,＜5克/天,孕妇和5岁以下儿童不宜食用。,植物甾烷醇酯是一款用于高胆固醇高血脂群体的保健品。
蛹虫草,翻译暂缺,暂无数据,婴幼儿、儿童、食用真菌过敏者不宜食用。,蛹虫草（学名：Cordyceps militaris (L.ex Fr.) Link.）是麦角菌科、虫草属真菌，又名北冬虫夏草、北虫草，简称蛹草。蛹虫草是由子座（即草部分）与菌核（即虫的尸体部分）两部分组成的复合体。子座单个或数个从寄主头部长出，有时从虫体节部生出，橙黄色，一般不分枝，有时分枝，高3~5厘米，头部呈棒状，长1~2厘米，粗3~5毫米，表面粗糙。子囊壳外露，近圆锥形，下部埋生头部的外层，400~500微米×4~5微米，内含8枚条形孢子。孢子细长，几乎充满子囊，粗约1微米，成熟时产生横隔，并断成2~3微米长的小段。子座柄部近圆柱形，长2.5~4厘米，内实心。
罗伊氏乳杆菌,Lactobacillus reuteri,暂无数据,均适宜,罗伊氏乳杆菌(Lactobacillus reuteri)是已报道的几乎天然存在于所有脊椎动物和哺乳动物肠道内的乳酸菌。罗伊氏乳杆菌对肠黏膜具有很强的黏附能力，可改善肠道菌群分布，拮抗有害菌定植，避免罹患肠道疾病;罗伊氏乳杆菌能产生一种被称为“罗伊氏菌素(Reuterin)”的非蛋白质类广谱抗菌物质，能广泛抑制革兰氏阳性菌、革兰氏阴性菌、酵母、真菌和病原虫等的生长。罗伊氏乳杆菌益生菌制剂可改善人体机能，提高免疫力从而促进人体健康。我国卫生部于2003年批准了罗伊氏乳杆菌可作为人类保健品的微生物菌种，且该菌已是国际上公认的新型益生乳酸菌，具有很高的理论研究和生产应用价值。
